algorithm,date,iteration,seed,size
ea1p1,20210112152410_423,76762,16104614372876610,36
ea1p1,20210112152531_2,125974,16104615097679430,36
ea1p1,20210112152551_866,333705,16104614718742440,48
ea1p1,20210112152811_57,141079,16104616748375230,36
ea1p1,20210112152827_673,256132,16104616649848550,48
ea1p1,20210112152947_752,23314,16104617870659620,24
ea1p1,20210112154453_82,135959,16104626563531700,36
ea1p1,20210112154501_175,163182,16104626563531700,36
ea1p1,20210112154621_632,235773,16104626729648370,48
ea1p1,20210112154703_081,123481,16104627919428000,36
ea1p1,20210112154740_716,130100,16104628230825030,36
ea1p1,20210112154929_371,241162,16104628607198710,48
ea1p1,20210112154949_998,5211,16104629894407620,24
ea1p1,20210112155009_628,62052,16104629932278650,36
ea1p1,20210112155219_618,409050,16104629654556760,48
ea1p1,20210112155307_56,415136,16104630136015280,48
ea1p1,20210112155325_074,72557,16104631875616950,36
ea1p1,20210112155352_283,112810,16104632050750340,36
ea1p1,20210112155555_533,8089,16104633545058610,24
ea1p1,20210112155600_877,139324,16104633012839170,48
ea1p1,20210112155826_235,282177,16104633595419440,48
ea1p1,20210112160020_512,229343,16104635601023340,36
ea1p1,20210112160024_055,23007,16104636205140120,24
ea1p1,20210112160059_043,125160,16104636258288500,36
ea1p1,20210112160226_353,4599,16104637458523330,24
ea1p1,20210112160253_438,103641,16104637463538240,36
ea1p1,20210112160453_642,31423,16104638891045320,24
ea1p1,20210112160851_432,43172,16104641202370182,36
ea1p1,20210112160855_482,600001,16104638737422940,48
ea1p1,20210112160955_529,36195,16104641911326120,24
ea1p1,20210112160956_748,10530,16104641955301710,24
ea1p1,20210112161000_67,313089,16104640690793820,48
ea1p1,20210112161101_777,19986,16104642593222240,24
ea1p1,20210112161135_495,231768,16104641967488230,48
ea1p1,20210112161339_386,508398,16104642006707530,48
ea1p1,20210112161347_558,32645,16104644193874130,36
ea1p1,20210112161645_722,399496,16104644303220330,48
ea1p1,20210112161926_685,29743,16104647630230852,24
ea1p1,20210112162020_006,209562,16104647289755800,48
ea1p1,20210112162101_953,147404,16104648200074170,36
ea1p1,20210112162136_56,223758,16104647936545120,48
ea1p1,20210112162137_497,6283,16104648965616710,24
ea1p1,20210112162247_895,340553,16104648781475862,36
ea1p1,20210112162353_114,336212,16104648839209140,48
ea1p1,20210112162354_417,172614,16104649880829238,36
ea1p1,20210112162445_749,9085,16104650850598230,24
ea1p1,20210112162446_361,7411,16104650857507250,24
ea1p1,20210112162546_368,331535,16104650394792060,48
ea1p1,20210112162746_458,11318,16104652656176970,24
ea1p1,20210112162802_018,13743,16104652808494192,24
ea1p1,20210112162848_186,90599,16104653138037850,36
ea1p1,20210112162848_737,7583,16104653281874670,24
ea1p1,20210112162852_276,144132,16104653092426810,36
ea1p1,20210112162853_18,11219,16104653322771110,24
ea1p1,20210112162900_156,59937,16104653355222790,24
ea1p1,20210112163149_232,176739,16104654625373300,48
ea1p1,20210112163405_881,538423,16104655017256150,48
ea1p1,20210112163541_555,24848,16104657395170200,24
ea1p1,20210112163611_236,6413,16104657707125440,24
ea1p1,20210112163626_479,91067,16104657712377250,36
ea1p1,20210112163732_068,479054,16104657250490980,48
ea1p1,20210112163737_205,33399,16104658520695880,36
ea1p1,20210112163838_683,377615,16104658194858450,48
ea1p1,20210112163846_954,15013,16104659254355360,24
ea1p1,20210112163905_597,106299,16104659287866800,36
ea1p1,20210112164122_623,187447,16104660550118650,48
ea1p1,20210112194735_498,1656210,16104757917691350,36
ea1p1,20210112194925_623,425465,16104772112403880,24
ea1p1,20210112195246_132,260012,16104774722441930,24
ea1p1,20210112202846_387,3021896,16104772559282790,36
ea1p1,20210113075906_793,191299,16105210959097310,20
ea1p1,20210113081325_891,1115265,16105212902386910,30
ea1p1,20210113082621_677,356596,16105226910953390,20
ea1p1,20210113084600_968,1428698,16105233372442630,25
ea1p1,20210113085615_697,222362,16105245195112400,20
ea1p1,20210113085641_798,944099,16105240310600988,30
ea1p1,20210113090202_192,744043,16105246162124050,25
ea1p1,20210113090210_88,374505,16105247804319950,25
ea1p1,20210113090250_363,1695316,16105239609730510,30
ea1p1,20210113090511_212,241165,16105250483212540,20
ea1p1,20210113090559_192,466672,16105249703639710,25
ea1p1,20210113091348_2,5119,16105256262424260,10
ea1p1,20210113091403_43,36062,16105256381933270,15
ea1p1,20210113091411_582,66089,16105256339115050,20
ea1p1,20210113091430_313,150395,16105256304768300,20
ea1p1,20210113091543_695,335651,16105256524395822,20
ea1p1,20210113091544_748,14786,16105257436960362,10
ea1p1,20210113091641_067,57364,16105257928952280,15
ea1p1,20210113091701_615,216581,16105257625785420,20
ea1p1,20210113091710_68,17466,16105258295132900,10
ea1p1,20210113091727_471,22563,16105258460495460,10
ea1p1,20210113091727_838,67885,16105258379414340,15
ea1p1,20210113091739_252,5310,16105258589481512,10
ea1p1,20210113091821_214,93813,16105258773215580,20
ea1p1,20210113091908_348,369548,16105258538648788,20
ea1p1,20210113091917_974,426319,16105258499599510,20
ea1p1,20210113091952_219,15963,16105259911234110,10
ea1p1,20210113091959_249,35251,16105259940735108,15
ea1p1,20210113092002_345,33407,16105259971326470,15
ea1p1,20210113092043_668,195730,16105259940313120,20
ea1p1,20210113092045_69,9189,16105260450745530,10
ea1p1,20210113092056_806,76526,16105260456914460,15
ea1p1,20210113092218_933,18112,16105261379700570,10
ea1p1,20210113092227_128,79809,16105261389353480,15
ea1p1,20210113092325_362,4742,16105262051342872,10
ea1p1,20210113092327_437,20855,16105262053648200,15
ea1p1,20210113092339_6,224401,16105262066256830,15
ea1p1,20210113092414_12,903035,16105261315644030,20
ea1p1,20210113092418_121,73972,16105262541220990,15
ea1p1,20210113092427_741,11271,16105262674430930,10
ea1p1,20210113092514_124,232919,16105262918637422,20
ea1p1,20210114094439_104,912,16106138782797940,100

ea1p1,20210114094439_934,1303,16106138799325680,100
ea1p1,20210114094439_934,799,16106138799325680,100
ea1p1,20210114094439_936,652,16106138799347190,100
ea1p1,20210114094440_085,832,16106138800838540,100
ea1p1,20210114094440_086,701,16106138800844040,100
ea1p1,20210114094440_087,1111,16106138800853680,100
ea1p1,20210114094440_088,1010,16106138800851810,100
ea1p1,20210114094440_089,951,16106138800881090,100
ea1p1,20210114094440_09,1744,16106138800877810,100
ea1p1,20210114094440_097,1642,16106138800953930,100
ea1p1,20210114094440_098,876,16106138800966452,100
ea1p1,20210114094440_099,953,16106138800982730,100
ea1p1,20210114094440_1,1592,16106138800978420,100
ea1p1,20210114094440_101,755,16106138801000460,100
ea1p1,20210114094440_103,863,16106138801023980,100
ea1p1,20210114094440_105,766,16106138801043292,100
ea1p1,20210114094440_105,1880,16106138801031540,100
ea1p1,20210114094440_107,1033,16106138801054030,100
ea1p1,20210114094440_108,616,16106138801075680,100
ea1p1,20210114094440_108,1404,16106138801064870,100
ea1p1,20210114094440_128,1169,16106138801099670,100
ea1p1,20210114094440_129,686,16106138801281660,100
ea1p1,20210114094440_129,1194,16106138801276570,100
ea1p1,20210114094440_129,882,16106138801285990,100
ea1p1,20210114094440_132,772,16106138801315430,100
ea1p1,20210114094440_133,1116,16106138801314220,100
ea1p1,20210114094440_133,565,16106138801324300,100
ea1p1,20210114094440_134,1162,16106138801324520,100
ea1p1,20210114094440_137,1073,16106138801354410,100
ea1p1,20210114094440_138,1045,16106138801372680,100
ea1p1,20210114094440_14,871,16106138801387898,100
ea1p1,20210114094440_141,719,16106138801400130,100
ea1p1,20210114094440_142,834,16106138801414310,100
ea1p1,20210114094440_143,1016,16106138801422970,100
ea1p1,20210114094440_146,895,16106138801440498,100
ea1p1,20210114094440_147,1276,16106138801452840,100
ea1p1,20210114094440_147,1462,16106138801454862,100
ea1p1,20210114094440_148,1387,16106138801462570,100
ea1p1,20210114094440_148,871,16106138801474618,100
ea1p1,20210114094440_15,938,16106138801490000,100
ea1p1,20210114094440_151,976,16106138801492560,100
ea1p1,20210114094440_151,1083,16106138801498510,100
ea1p1,20210114094440_151,1361,16106138801497660,100
ea1p1,20210114094440_153,713,16106138801520190,100
ea1p1,20210114094440_166,712,16106138801654962,100
ea1p1,20210114094440_167,877,16106138801659660,100
ea1p1,20210114094440_17,1473,16106138801677660,100
ea1p1,20210114094440_17,865,16106138801690980,100
ea1p1,20210114094440_171,1072,16106138801692860,100
ea1p1,20210114094440_174,1708,16106138801714980,100
ea1p1,20210114094440_174,861,16106138801735320,100
ea1p1,20210114094440_178,824,16106138801770230,100
ea1p1,20210114094440_179,1034,16106138801783040,100
ea1p1,20210114094440_181,724,16106138801803852,100
ea1p1,20210114094440_182,1414,16106138801801160,100
